"Senior (56+)","Diamond","54","36512.03","3042.67","6.42","49","1931.62","1","1","2190721.80","High Value - High Risk"
"Adult (26-35)","Diamond","35","35501.91","2958.49","5.66","30","1000.51","1","1","2130114.60","High Value - High Risk"
"Middle-Aged (36-45)","Diamond","54","34810.01","2900.83","6.46","51","1323.19","1","1","2088600.60","High Value - High Risk"
"Young Adult (18-25)","Diamond","48","33404.51","2783.71","5.04","43","702.04","1","1","2004270.60","High Value - High Risk"
"Senior-Middle (46-55)","Diamond","77","32205.48","2683.79","5.74","67","1574.76","1","1","1932328.80","High Value - High Risk"
"Middle-Aged (36-45)","Platinum","20","17966.50","1497.21","4.65","17","1058.68","1","1","1077990.00","High Value - High Risk"
"Adult (26-35)","Platinum","40","17756.57","1479.71","4.59","36","819.89","2","2","1065394.20","Standard"
"Young Adult (18-25)","Platinum","40","16186.54","1348.88","4.08","34","568.96","2","2","971192.40","Standard"
"Senior (56+)","Platinum","142","13147.92","1095.66","3.00","84","1888.97","2","2","788875.20","Standard"
"Senior-Middle (46-55)","Platinum","25","12308.87","1025.74","3.16","15","1704.36","2","2","738532.20","Standard"
"Adult (26-35)","Gold","1","11326.71","943.89","2.63","1","1401.18","2","3","679602.60","Standard"
"Senior (56+)","Gold","20","11064.04","922.00","2.87","13","1902.60","3","2","663842.40","Standard"
"Young Adult (18-25)","Gold","2","11034.14","919.51","1.21","1","638.89","3","4","662048.40","Standard"
"Senior-Middle (46-55)","Gold","181","9644.13","803.68","2.66","106","1571.53","3","3","578647.80","Standard"
"Middle-Aged (36-45)","Gold","63","8124.11","677.01","2.45","30","1275.15","3","3","487446.60","Standard"
"Senior-Middle (46-55)","Silver","1","7147.10","595.59","1.64","0","1025.80","3","4","428826.00","Standard"
"Middle-Aged (36-45)","Silver","127","6388.90","532.41","2.12","59","1192.57","4","3","383334.00","Standard"
"Adult (26-35)","Silver","124","4997.67","416.47","1.92","61","963.87","4","3","299860.20","Standard"
"Young Adult (18-25)","Silver","15","4732.22","394.35","1.73","7","634.49","4","4","283933.20","Standard"
"Adult (26-35)","Bronze","68","3365.24","280.44","1.50","34","853.58","4","4","201914.40","Standard"
"Young Adult (18-25)","Bronze","200","2175.29","181.27","1.12","97","610.69","4","4","130517.40","Standard"
